K,f1_weighted,f1_macro,angry_f1,happy_f1,sad_f1,neutral_f1
0,0.6385472898604391,0.6284040954341974,0.6058208468787476,0.6904640540913954,0.5985090487436775,0.618822432022969
10,0.7922550849501242,0.7847479189943338,0.745799623460261,0.8557662778912608,0.807320632009999,0.7301051426158145
20,0.7983944089826356,0.7897614636057104,0.7348030911011344,0.855443274146063,0.8247049996816507,0.744094489493994
30,0.8004583526953756,0.7938019634120861,0.7440169728512541,0.8548634458770463,0.8364996242928319,0.7398278106272123
40,0.801441406271214,0.7935642694227165,0.7463590524857141,0.8599943892783525,0.8236314388267456,0.7442721971000538
50,0.797963270166666,0.7925258372689259,0.7528397238247111,0.8517357481489436,0.8297859011682591,0.7357419759337895
60,0.7999570109958176,0.7906448396149315,0.7354244296940458,0.8656678980114968,0.8238254182220587,0.7376616125321249
70,0.799253361059563,0.7935079777696687,0.7586129839767011,0.8574611904131928,0.8226216061312572,0.7353361305575239
80,0.7941008961962351,0.7874797560548911,0.742974357087269,0.847041846554583,0.8217381856422667,0.7381646349354456
90,0.795368665801657,0.7879100798361676,0.7408815977019187,0.8604186719781264,0.8239783412591214,0.7263617084055036
100,0.7979322126778191,0.7890589041932675,0.7314707607780473,0.8572985809120425,0.8269724877272078,0.7404937873557729
