Classification,Context,Architecture,Loss,Test Acc,Test F1 Weighted,Test F1 Macro,Time (s),Train Size,Test Size
4-way,4-turn,MLP,Focal,0.7195809830781628,0.7224026611811367,0.7155833973312602,9.05160403251648,3259,1241
4-way,4-turn,MLP,CrossEntropy,0.7187751813053989,0.7212594446498808,0.709209960635291,7.6378302574157715,3259,1241
4-way,3-turn,MLP,CrossEntropy,0.7066881547139404,0.7103126205587604,0.7044447500458314,9.449202060699463,3259,1241
4-way,3-turn,MLP,Focal,0.7002417405318292,0.7026131417064421,0.6938902398455797,8.605807304382324,3259,1241
4-way,2-turn,MLP,CrossEntropy,0.6857373086220789,0.6892322470540918,0.6815286785674806,7.640805721282959,3259,1241
4-way,2-turn,MLP,Focal,0.6833199033037872,0.6878635472104611,0.6744436004659009,11.67252779006958,3259,1241
4-way,3-turn,LSTM,CrossEntropy,0.6833199033037872,0.6870906913650022,0.6748398170307381,11.845501899719238,3259,1241
4-way,2-turn,LSTM,CrossEntropy,0.6841257050765511,0.6868183181976747,0.6736158998904505,12.660561800003052,3259,1241
4-way,2-turn,LSTM,Focal,0.6817082997582594,0.6849146968102233,0.6750706359207859,19.177048921585083,3259,1241
4-way,3-turn,LSTM,Focal,0.6736502820306205,0.6771937467356794,0.6727190412114383,20.142127752304077,3259,1241
6-way,4-turn,MLP,Focal,0.6529,0.6569,0.6453,9.7,4246,1622
6-way,4-turn,MLP,CrossEntropy,0.6467,0.651,0.6405,10.5,4246,1622
6-way,4-turn,LSTM,CrossEntropy,0.635,0.6414,0.6315,20.7,4246,1622
6-way,4-turn,LSTM,Focal,0.627,0.6332,0.6216,21.9,4246,1622
6-way,3-turn,MLP,CrossEntropy,0.6289,0.633,0.6233,9.8,4246,1622
6-way,3-turn,LSTM,CrossEntropy,0.6184,0.6201,0.6019,12.1,4246,1622
6-way,3-turn,MLP,Focal,0.6141,0.619,0.6067,8.3,4246,1622
6-way,3-turn,LSTM,Focal,0.6128,0.6178,0.6047,17.0,4246,1622
6-way,2-turn,MLP,CrossEntropy,0.6122,0.6176,0.6071,11.1,4246,1622
6-way,2-turn,LSTM,CrossEntropy,0.6097,0.6138,0.6001,14.8,4246,1622
6-way,2-turn,LSTM,Focal,0.6067,0.6098,0.5965,16.5,4246,1622
6-way,2-turn,MLP,Focal,0.6017,0.6074,0.5979,11.8,4246,1622
